DFT, Frequency Response Magnitude
Numpoints, 65536
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
394.043, 130.1662
394.775, 130.2177
395.508, 130.1788
396.240, 130.2055
396.973, 130.3097
397.705, 130.2752
398.438, 130.2339
399.170, 130.3271
399.902, 130.2936
400.635, 130.3324
401.367, 130.3691
402.100, 130.3975
402.832, 130.3538
403.564, 130.3128
404.297, 130.3456
405.029, 130.3033
405.762, 130.3073
406.494, 130.3549
407.227, 130.2601
407.959, 130.3839
408.691, 130.4326
409.424, 130.4302
410.156, 130.3801
410.889, 130.4720
411.621, 130.3899
412.354, 130.4589
413.086, 130.3569
413.818, 130.4124
414.551, 130.4890
415.283, 130.4712
416.016, 130.3887
416.748, 130.4196
417.480, 130.5028
418.213, 130.4998
418.945, 130.4362
419.678, 130.3739
420.410, 130.5323
421.143, 130.4893
421.875, 130.4171
422.607, 130.4745
423.340, 130.5954
424.072, 130.6411
424.805, 130.5846
425.537, 130.6014
426.270, 130.4793
427.002, 130.6294
427.734, 130.5781
428.467, 130.6046
429.199, 130.6301
429.932, 130.6023
430.664, 130.5904
431.396, 130.6973
432.129, 130.7364
432.861, 130.6912
433.594, 130.7439
434.326, 130.7600
435.059, 130.7084
435.791, 130.7086
436.523, 130.7129
437.256, 130.7615
437.988, 130.6682
438.721, 130.6916
439.453, 130.7729
440.186, 130.6387
440.918, 130.7032
441.650, 130.7856
442.383, 130.7276
443.115, 130.7085
443.848, 130.7524
444.580, 130.8941
445.313, 130.8907
446.045, 130.7480
446.777, 130.7437
447.510, 130.7296
448.242, 130.7898
448.975, 130.7656
449.707, 130.5386
450.439, 131.2345
451.172, 130.7428
451.904, 130.8619
452.637, 130.9251
453.369, 130.7208
454.102, 130.8088
454.834, 130.8653
455.566, 130.8706
456.299, 130.8581
457.031, 130.7618
457.764, 130.8894
458.496, 130.9274
459.229, 130.8644
459.961, 130.8403
460.693, 130.8605
461.426, 130.8316
462.158, 130.8638
462.891, 130.8710
463.623, 130.9497
464.355, 130.9777
465.088, 130.9065
465.820, 130.8481
466.553, 130.8909
467.285, 130.9312
468.018, 130.9897
468.750, 130.9223
469.482, 131.0085
470.215, 130.9616
470.947, 130.8930
471.680, 130.9226
472.412, 130.9330
473.145, 130.8919
473.877, 131.0005
474.609, 130.9206
475.342, 130.9153
476.074, 131.0591
476.807, 130.9015
477.539, 130.9941
478.271, 131.0297
479.004, 131.0549
479.736, 131.0813
480.469, 131.0046
481.201, 131.0842
481.934, 131.1551
482.666, 130.9897
483.398, 131.2322
484.131, 131.0729
484.863, 131.0319
485.596, 131.0379
486.328, 131.0725
487.061, 131.1009
487.793, 131.1309
488.525, 131.1219
489.258, 131.0761
489.990, 131.1496
490.723, 131.1421
491.455, 131.1240
492.188, 131.0908
492.920, 131.1063
493.652, 131.2100
494.385, 131.2119
495.117, 131.2364
495.850, 131.1896
496.582, 131.2817
497.314, 131.1276
498.047, 131.1618
498.779, 131.1751
499.512, 131.1167
500.244, 131.2389
500.977, 131.2163
501.709, 131.1963
502.441, 131.2285
503.174, 131.3395
503.906, 131.2442
504.639, 131.3321
505.371, 131.2962
506.104, 131.3775
506.836, 131.2932
507.568, 131.2044
508.301, 131.2318
509.033, 131.3380
509.766, 131.2922
510.498, 131.3363
511.230, 131.3948
511.963, 131.3623
512.695, 131.2958
513.428, 131.3675
514.160, 131.4100
514.893, 131.3620
515.625, 131.4416
516.357, 131.3800
517.090, 131.3161
517.822, 131.3866
518.555, 131.4552
519.287, 131.4601
520.020, 131.5565
520.752, 131.3049
521.484, 131.4282
522.217, 131.4790
522.949, 131.4928
523.682, 131.4591
524.414, 131.4801
525.146, 131.4020
525.879, 131.5286
526.611, 131.5330
527.344, 131.5284
528.076, 131.5704
528.809, 131.5489
529.541, 131.5718
530.273, 131.5997
531.006, 131.6274
531.738, 131.6795
532.471, 131.6997
533.203, 131.6500
533.936, 131.7920
534.668, 131.7860
535.400, 131.7167
536.133, 131.7413
536.865, 131.6750
537.598, 131.7048
538.330, 131.7167
539.063, 131.7493
539.795, 131.7834
540.527, 131.7234
541.260, 131.6578
541.992, 131.8374
542.725, 131.7281
543.457, 131.7906
544.189, 131.7913
544.922, 131.8310
545.654, 131.8378
546.387, 131.7499
547.119, 131.8298
