DFT, Frequency Response Magnitude
Numpoints, 2048
SamplingRate(Hz), 96000.000000
Frequency(Hz), Magnitude(dB)
13476.563, 126.5834
13500.000, 126.4907
13523.438, 126.2070
13546.875, 126.3449
13570.313, 125.8664
13593.750, 125.9408
13617.188, 125.7425
13640.625, 125.7293
13664.063, 125.6836
13687.500, 125.4955
13710.938, 125.4920
13734.375, 125.4968
13757.813, 125.2180
13781.250, 125.2369
13804.688, 125.1030
13828.125, 125.0828
13851.563, 124.9648
13875.000, 125.1410
13898.438, 124.9664
13921.875, 124.8981
13945.313, 124.8973
13968.750, 124.7270
13992.188, 124.7549
14015.625, 124.7761
14039.063, 124.8605
14062.500, 124.7336
14085.938, 124.7920
14109.375, 124.8553
14132.813, 124.8299
14156.250, 124.7696
14179.688, 125.0398
14203.125, 124.7440
14226.563, 125.1311
14250.000, 124.7007
14273.438, 124.9152
14296.875, 124.7903
14320.313, 124.5194
14343.750, 124.5765
14367.188, 124.6258
14390.625, 124.3074
14414.063, 124.1602
14437.500, 124.0635
14460.938, 123.7743
14484.375, 123.7638
14507.813, 123.7136
14531.250, 123.8950
14554.688, 123.6191
14578.125, 123.5921
14601.563, 123.7327
14625.000, 123.5863
14648.438, 123.8975
14671.875, 123.7669
14695.313, 123.6749
14718.750, 123.6315
14742.188, 123.6344
14765.625, 123.5302
14789.063, 123.5348
14812.500, 123.5978
14835.938, 123.5635
14859.375, 123.6223
14882.813, 123.4866
14906.250, 123.3951
14929.688, 123.5065
14953.125, 123.3580
14976.563, 123.2544
15000.000, 122.8371
15023.438, 123.1218
15046.875, 123.0971
15070.313, 122.9389
15093.750, 122.7465
15117.188, 122.9056
15140.625, 122.5751
15164.063, 122.4537
15187.500, 122.4326
15210.938, 122.1643
15234.375, 122.2097
15257.813, 122.0005
15281.250, 121.7987
15304.688, 121.9091
15328.125, 121.5201
15351.563, 121.1268
15375.000, 121.2739
15398.438, 120.7368
15421.875, 120.9852
15445.313, 120.6820
15468.750, 120.2845
15492.188, 120.0947
15515.625, 119.7598
15539.063, 119.8443
15562.500, 119.2178
15585.938, 119.4147
15609.375, 119.1945
15632.813, 118.9705
15656.250, 119.0302
15679.688, 118.9749
15703.125, 118.7576
15726.563, 118.3611
15750.000, 118.6258
15773.438, 118.4297
15796.875, 118.2911
15820.313, 117.6299
15843.750, 117.5981
15867.188, 117.4539
15890.625, 117.0750
15914.063, 117.0807
15937.500, 116.9693
15960.938, 116.5566
15984.375, 116.9933
16007.813, 116.3235
16031.250, 116.1127
16054.688, 115.8866
16078.125, 115.4205
16101.563, 115.3668
16125.000, 114.9468
16148.438, 114.5593
16171.875, 114.7628
16195.313, 114.2749
16218.750, 113.9884
16242.188, 113.7159
16265.625, 113.4509
16289.063, 113.2179
16312.500, 113.0727
16335.938, 112.4476
16359.375, 112.5653
16382.813, 112.8926
16406.250, 112.6706
16429.688, 112.1754
16453.125, 112.1344
16476.563, 112.3571
16500.000, 111.3302
16523.438, 111.9704
16546.875, 111.7859
16570.313, 112.0544
16593.750, 112.0384
16617.188, 111.8699
16640.625, 112.1146
